filename,status,taric_code,confidence,model_version,backend_status,error_message,raw_response_json
02747c7e-0a61-463b-a101-5e6f5388ece5.jpg.webp,error,,,,,"Backend-Fehler für 02747c7e-0a61-463b-a101-5e6f5388ece5.jpg.webp: Status 404 - {""detail"":""Not Found""}",
02cac0f4ac3f48c7be5b23bff448f33f-goods.jpeg.webp,error,,,,,"Backend-Fehler für 02cac0f4ac3f48c7be5b23bff448f33f-goods.jpeg.webp: Status 404 - {""detail"":""Not Found""}",
08facdf4-8cc3-4511-bc53-8df0f3f21a8d.jpg.webp,error,,,,,"Backend-Fehler für 08facdf4-8cc3-4511-bc53-8df0f3f21a8d.jpg.webp: Status 404 - {""detail"":""Not Found""}",
0a032334-3000-46fb-8aa9-53d08b5b0bc2.jpg.webp,error,,,,,"Backend-Fehler für 0a032334-3000-46fb-8aa9-53d08b5b0bc2.jpg.webp: Status 404 - {""detail"":""Not Found""}",
0bcaa7bb03af437796a07f3fa7d9b2b1.jpg.webp,error,,,,,"Backend-Fehler für 0bcaa7bb03af437796a07f3fa7d9b2b1.jpg.webp: Status 404 - {""detail"":""Not Found""}",
0d3dde6d-ba50-4839-bc53-7efe1614c43c.jpg.webp,error,,,,,"Backend-Fehler für 0d3dde6d-ba50-4839-bc53-7efe1614c43c.jpg.webp: Status 404 - {""detail"":""Not Found""}",
0e440f20fd032f5784527ef292b57b53.jpg.webp,error,,,,,"Backend-Fehler für 0e440f20fd032f5784527ef292b57b53.jpg.webp: Status 404 - {""detail"":""Not Found""}",
13271cd5112f421688b6ac5ebb5dd976-goods.jpeg.webp,error,,,,,"Backend-Fehler für 13271cd5112f421688b6ac5ebb5dd976-goods.jpeg.webp: Status 404 - {""detail"":""Not Found""}",
15-10.webp,error,,,,,"Backend-Fehler für 15-10.webp: Status 404 - {""detail"":""Not Found""}",
15-11.webp,error,,,,,"Backend-Fehler für 15-11.webp: Status 404 - {""detail"":""Not Found""}",
15-12.webp,error,,,,,"Backend-Fehler für 15-12.webp: Status 404 - {""detail"":""Not Found""}",
15-13.webp,error,,,,,"Backend-Fehler für 15-13.webp: Status 404 - {""detail"":""Not Found""}",
15-14.webp,error,,,,,"Backend-Fehler für 15-14.webp: Status 404 - {""detail"":""Not Found""}",
15-15.webp,error,,,,,"Backend-Fehler für 15-15.webp: Status 404 - {""detail"":""Not Found""}",
15-16.webp,error,,,,,"Backend-Fehler für 15-16.webp: Status 404 - {""detail"":""Not Found""}",
15-17.webp,error,,,,,"Backend-Fehler für 15-17.webp: Status 404 - {""detail"":""Not Found""}",
15-18.webp,error,,,,,"Backend-Fehler für 15-18.webp: Status 404 - {""detail"":""Not Found""}",
15-19.webp,error,,,,,"Backend-Fehler für 15-19.webp: Status 404 - {""detail"":""Not Found""}",
15-2.webp,error,,,,,"Backend-Fehler für 15-2.webp: Status 404 - {""detail"":""Not Found""}",
15-3.webp,error,,,,,"Backend-Fehler für 15-3.webp: Status 404 - {""detail"":""Not Found""}",
15-4.webp,error,,,,,"Backend-Fehler für 15-4.webp: Status 404 - {""detail"":""Not Found""}",
15-5.webp,error,,,,,"Backend-Fehler für 15-5.webp: Status 404 - {""detail"":""Not Found""}",
15-6.webp,error,,,,,"Backend-Fehler für 15-6.webp: Status 404 - {""detail"":""Not Found""}",
15-8.webp,error,,,,,"Backend-Fehler für 15-8.webp: Status 404 - {""detail"":""Not Found""}",
15-9.webp,error,,,,,"Backend-Fehler für 15-9.webp: Status 404 - {""detail"":""Not Found""}",
15.webp,error,,,,,"Backend-Fehler für 15.webp: Status 404 - {""detail"":""Not Found""}",
1712753505382-27f83ff43a3f480588681de5e46c3ca9-goods.jpeg.webp,error,,,,,"Backend-Fehler für 1712753505382-27f83ff43a3f480588681de5e46c3ca9-goods.jpeg.webp: Status 404 - {""detail"":""Not Found""}",
1d377f07-7d2f-454f-9f83-55b1860f1330.jpg.webp,error,,,,,"Backend-Fehler für 1d377f07-7d2f-454f-9f83-55b1860f1330.jpg.webp: Status 404 - {""detail"":""Not Found""}",
213ee5c91aec4ba3945657eaf060ccf7-goods.jpeg.webp,error,,,,,"Backend-Fehler für 213ee5c91aec4ba3945657eaf060ccf7-goods.jpeg.webp: Status 404 - {""detail"":""Not Found""}",
21efaeb96bf3334b8e49369e9499c6c2.jpg.webp,error,,,,,"Backend-Fehler für 21efaeb96bf3334b8e49369e9499c6c2.jpg.webp: Status 404 - {""detail"":""Not Found""}",
27c54b6e-0ca3-4120-baeb-6ff162c77d3f.jpg.webp,error,,,,,"Backend-Fehler für 27c54b6e-0ca3-4120-baeb-6ff162c77d3f.jpg.webp: Status 404 - {""detail"":""Not Found""}",
2e73f1c04e764030a0f299fafd39d287.jpg.webp,error,,,,,"Backend-Fehler für 2e73f1c04e764030a0f299fafd39d287.jpg.webp: Status 404 - {""detail"":""Not Found""}",
2f6edd9b-296d-407a-a224-c26d3ad20694_1500x1500.jpeg.format.jpg.webp,error,,,,,"Backend-Fehler für 2f6edd9b-296d-407a-a224-c26d3ad20694_1500x1500.jpeg.format.jpg.webp: Status 404 - {""detail"":""Not Found""}",
2f76037f-dc03-43f3-83f8-00c8a4a95fa0.jpg.webp,error,,,,,"Backend-Fehler für 2f76037f-dc03-43f3-83f8-00c8a4a95fa0.jpg.webp: Status 404 - {""detail"":""Not Found""}",
339c6ff9ff004988a583c5f8c7a3e20a-goods.jpeg.webp,error,,,,,"Backend-Fehler für 339c6ff9ff004988a583c5f8c7a3e20a-goods.jpeg.webp: Status 404 - {""detail"":""Not Found""}",
3789a185-fca5-46f3-9205-002d796ef617.jpg.webp,error,,,,,"Backend-Fehler für 3789a185-fca5-46f3-9205-002d796ef617.jpg.webp: Status 404 - {""detail"":""Not Found""}",
388c1a65-6bc6-4ac6-9e0e-14b23944bc4c.jpg.webp,error,,,,,"Backend-Fehler für 388c1a65-6bc6-4ac6-9e0e-14b23944bc4c.jpg.webp: Status 404 - {""detail"":""Not Found""}",
3972e258-2a95-4607-b5f9-b73c6b5f77d4_1924x1924.jpeg.format.jpg.webp,error,,,,,"Backend-Fehler für 3972e258-2a95-4607-b5f9-b73c6b5f77d4_1924x1924.jpeg.format.jpg.webp: Status 404 - {""detail"":""Not Found""}",
39f4163f-5704-4a3e-a47f-38facd15e374.jpeg.webp,error,,,,,"Backend-Fehler für 39f4163f-5704-4a3e-a47f-38facd15e374.jpeg.webp: Status 404 - {""detail"":""Not Found""}",
3b3c2c9727064bd2a500aefaf39f6ffd-goods.jpeg.webp,error,,,,,"Backend-Fehler für 3b3c2c9727064bd2a500aefaf39f6ffd-goods.jpeg.webp: Status 404 - {""detail"":""Not Found""}",
3b53dedf-98c5-4497-a188-2651cf319fa5.jpg.webp,error,,,,,"Backend-Fehler für 3b53dedf-98c5-4497-a188-2651cf319fa5.jpg.webp: Status 404 - {""detail"":""Not Found""}",
3e01bbed-2a35-4b02-bf47-a503eec46cf9.jpeg.webp,error,,,,,"Backend-Fehler für 3e01bbed-2a35-4b02-bf47-a503eec46cf9.jpeg.webp: Status 404 - {""detail"":""Not Found""}",
407e9585b8cd4f348bcd570710f7aa5b.jpg.webp,error,,,,,"Backend-Fehler für 407e9585b8cd4f348bcd570710f7aa5b.jpg.webp: Status 404 - {""detail"":""Not Found""}",
40f37024316d4cac8646f57d822cf1b5.jpg.webp,error,,,,,"Backend-Fehler für 40f37024316d4cac8646f57d822cf1b5.jpg.webp: Status 404 - {""detail"":""Not Found""}",
419a76cc-39c4-411f-9c11-e5a4738f7b83.jpg.webp,error,,,,,"Backend-Fehler für 419a76cc-39c4-411f-9c11-e5a4738f7b83.jpg.webp: Status 404 - {""detail"":""Not Found""}",
45175d3b-25a1-46c3-8df5-5f2442ab3bea_1924x1924.jpeg.format.jpg.webp,error,,,,,"Backend-Fehler für 45175d3b-25a1-46c3-8df5-5f2442ab3bea_1924x1924.jpeg.format.jpg.webp: Status 404 - {""detail"":""Not Found""}",
483aaf84-5b0e-49bf-bc1f-2c15596ccfd3.jpg.webp,error,,,,,"Backend-Fehler für 483aaf84-5b0e-49bf-bc1f-2c15596ccfd3.jpg.webp: Status 404 - {""detail"":""Not Found""}",
488dd4c0-e603-494f-b55b-49f4dff6cd7d.jpg.webp,error,,,,,"Backend-Fehler für 488dd4c0-e603-494f-b55b-49f4dff6cd7d.jpg.webp: Status 404 - {""detail"":""Not Found""}",
48c9258791e64d129d4e620cea37f64b.jpg.webp,error,,,,,"Backend-Fehler für 48c9258791e64d129d4e620cea37f64b.jpg.webp: Status 404 - {""detail"":""Not Found""}",
50e90586-9888-4a0b-bd21-5212dfea3b65_1500x1500.jpeg.format.jpg.webp,error,,,,,"Backend-Fehler für 50e90586-9888-4a0b-bd21-5212dfea3b65_1500x1500.jpeg.format.jpg.webp: Status 404 - {""detail"":""Not Found""}",
51a60754-fd94-45a8-a93e-7ba99a699a54.jpg.webp,error,,,,,"Backend-Fehler für 51a60754-fd94-45a8-a93e-7ba99a699a54.jpg.webp: Status 404 - {""detail"":""Not Found""}",
51d1d95c-cc2a-42de-9564-19e8cbe25de9.jpg.webp,error,,,,,"Backend-Fehler für 51d1d95c-cc2a-42de-9564-19e8cbe25de9.jpg.webp: Status 404 - {""detail"":""Not Found""}",
52f31e842b61488cb60bbc9eec232747.png.webp,error,,,,,"Backend-Fehler für 52f31e842b61488cb60bbc9eec232747.png.webp: Status 404 - {""detail"":""Not Found""}",
535923f6-825b-4d91-ab7f-32989d6a6420.jpg.webp,error,,,,,"Backend-Fehler für 535923f6-825b-4d91-ab7f-32989d6a6420.jpg.webp: Status 404 - {""detail"":""Not Found""}",
535fa801-c5fb-4927-bfa2-3dcc022ce048.jpg.webp,error,,,,,"Backend-Fehler für 535fa801-c5fb-4927-bfa2-3dcc022ce048.jpg.webp: Status 404 - {""detail"":""Not Found""}",
551c9b21-fd6f-4716-964b-116dddbdc9ba.jpg.webp,error,,,,,"Backend-Fehler für 551c9b21-fd6f-4716-964b-116dddbdc9ba.jpg.webp: Status 404 - {""detail"":""Not Found""}",
58670b4d-a300-4458-a410-86a48ed4ea34_1500x1500.jpeg.format.jpg.webp,error,,,,,"Backend-Fehler für 58670b4d-a300-4458-a410-86a48ed4ea34_1500x1500.jpeg.format.jpg.webp: Status 404 - {""detail"":""Not Found""}",
5e54343e6f344fbdb6dfc9c65b370990-goods.jpeg.webp,error,,,,,"Backend-Fehler für 5e54343e6f344fbdb6dfc9c65b370990-goods.jpeg.webp: Status 404 - {""detail"":""Not Found""}",
5e8e174f-8a0e-4a73-b158-a103e40fb32e.jpg.webp,error,,,,,"Backend-Fehler für 5e8e174f-8a0e-4a73-b158-a103e40fb32e.jpg.webp: Status 404 - {""detail"":""Not Found""}",
